,title,href,review
0,ForPost - В Севастополе стремительно дешевеет вторичное жильё,http://sevastopol.su/news/v-sevastopole-stremitelno-desheveet-vtorichnoe-zhile,Город-герой занял второе место в рейтинге снижения цен на вторичке. 
1,ForPost - ООН готова расследовать атаку дронов на Севастополь,http://sevastopol.su/news/oon-gotova-rassledovat-ataku-dronov-na-sevastopol,Организация будет считать злоупотреблением использование гуманитарных коридоров для получения военного преимущества.
2,ForPost - В Севастополе тренируются тушить пожары на кораблях,http://sevastopol.su/news/v-sevastopole-treniruyutsya-tushit-pozhary-na-korablyah,Борьбу с условным возгоранием отработали на корабле-музее «Сметливый».
3,ForPost - ForPost награжден почетной грамотой правительства Севастополя,http://sevastopol.su/news/forpost-nagrazhden-pochetnoy-gramotoy-pravitelstva-sevastopolya,За значительный вклад в развитие средств массовой информации города-героя.
4,ForPost - 15 лет ForPost: как превратить пять человек в миллион,http://sevastopol.su/news/15-let-forpost-kak-prevratit-pyat-chelovek-v-million,"Или что могут программист, автослесарь, медсестра, юрист и студентка."
5,ForPost - Что должно быть в аптечке севастопольца в военное время,http://sevastopol.su/news/chto-dolzhno-byt-v-aptechke-sevastopolca-v-voennoe-vremya,Советы от инструктора по медицинской подготовке.
6,ForPost - Путин назвал удары по Украине ответом за Севастополь,http://sevastopol.su/news/putin-nazval-udary-po-ukraine-otvetom-za-sevastopol,"Но этот ответ не является пределом возможностей, подчеркнул президент."
7,ForPost - Движение по коридору безопасности в Черном море приостанавливается из-за атаки на Севастополь,http://sevastopol.su/news/dvizhenie-po-koridoru-bezopasnosti-v-chernom-more-priostanavlivaetsya-iz-za-ataki-na-sevastopol,О гарантиях безопасности на указанном направлении не может быть и речи.
8,ForPost - Губернатор Севастополя стихом прокомментировал уничтожение БПЛА в Любимовке,http://sevastopol.su/news/gubernator-sevastopolya-stihom-prokommentiroval-unichtozhenie-bpla-v-lyubimovke,Очередная атака произошла поздно ночью.
9,ForPost - Электронный сертификат. Подробно о новом сервисе для людей с инвалидностью,http://sevastopol.su/news/elektronnyy-sertifikat-na-pokupku-tehnicheskih-sredstv-reabilitacii-novyy-instrument-bolshe,Где выбрать и купить ТСР в Севастополе?
10,"ForPost - Севастопольские полицейские побеседовали с байкером, блокировавшим троллейбус",http://sevastopol.su/news/sevastopolskie-policeyskie-pobesedovali-s-baykerom-blokirovavshim-trolleybus,Мотоциклист отделается не только нравоучениями.
11,ForPost - Как выход России из «зерновой сделки» скажется на ситуации в Чёрном море,http://sevastopol.su/news/kak-vyhod-rossii-iz-zernovoy-sdelki-skazhetsya-na-situacii-v-chernom-more,Между Россией и Турцией нарастают противоречия.
12,ForPost - Полицейские спасли тонувшего в Северо-Крымском канале мужчину,http://sevastopol.su/news/policeyskie-spasli-muzhchinu-ot-utopleniya-v-severo-krymskom-kanale,За спасение человека сотрудников МВД решили наградить.
13,ForPost - Круизные поезда не пойдут в Крым этой осенью,http://sevastopol.su/news/kruiznye-poezda-ne-poydut-v-krym-etoy-osenyu,"Оригинальный турпродукт отложили «на Новый год», как минимум."
14,ForPost - «Полуголая ведьма» сфотографировалась в Хеллоуин на памятнике природы,http://sevastopol.su/news/polugolaya-vedma-sfotografirovalas-v-hellouin-na-pamyatnike-prirody,Девушка в купальнике зашла в запретную зону и угрожала своими действиями нежным корням деревьев.
15,ForPost - Таксистов в России принудительно пересадят на «Москвичи»?,http://sevastopol.su/news/taksistov-v-rossii-prinuditelno-peresadyat-na-moskvichi,А премиального сегмента такси и вовсе не будет.
16,"ForPost - Почему мобилизация закончилась, а ограничения остались?",http://sevastopol.su/news/pochemu-mobilizaciya-zakonchilas-ogranicheniya-ostalis,В Кремле объяснили «инерцией» отказы в выезде россиянам после мобилизации.
17,ForPost - ДТЭК: На Украине закончился запас оборудования для восстановления энергосистемы,http://sevastopol.su/news/dtek-na-ukraine-zakonchilsya-zapas-oborudovaniya-dlya-vosstanovleniya-energosistemy,"Глава ДТЭК также отметил, что стоимость нужного оборудования измеряется сотнями миллионов долларов."
18,ForPost - Кедми: события ноября окажут огромное влияние на жизнь человечества,http://sevastopol.su/news/kedmi-sobytiya-noyabrya-okazhut-ogromnoe-vliyanie-na-zhizn-chelovechestva,"Пока все идет не по вашингтонскому сценарию, считает аналитик."
19,ForPost - Совфед: Киев подал запрос в Интерпол на объявление в розыск Матвиенко,http://sevastopol.su/news/sovfed-kiev-podal-zapros-v-interpol-na-obyavlenie-v-rozysk-matvienko,"В пресс-службе Совета Федерации заявили, что Киев подал запрос в Интерпол на объявление в розыск председателя верхней палаты парламента России Валентины Матвиенко."
,title,href,review
0,ForPost - Рейд в Севастопольской бухте временно закрыт после атаки беспилотников,http://sevastopol.su/news/reyd-v-sevastopolskoy-buhte-vremenno-zakryt-posle-ataki-bespilotnikov,"На какое время, пока неизвестно."
1,ForPost - ПСБ расширяет региональную сеть в Республике Крым и Севастополе,http://sevastopol.su/news/psb-rasshiryaet-regionalnuyu-set-v-respublike-krym-i-sevastopole,Банк предлагает широкий спектр сервисов и продуктов.
2,ForPost - ПВО в Севастополе отбивает атаку беспилотников ,http://sevastopol.su/news/pvo-v-sevastopole-otbivaet-ataku-bespilotnikov,Звуки работы ПВО разбудили горожан вскоре после 4 утра.
3,ForPost - Херсонес в Севастополе «одеревенел» ещё сильнее ,http://sevastopol.su/news/hersones-v-sevastopole-oderevenel-eshche-silnee,"По словам очевидцев, железа в земле  тоже стало больше."
4,ForPost - В Севастополе снесут два самостроя ,http://sevastopol.su/news/v-sevastopole-snesut-dva-samostroya,Нарушения выявил Севгосстройнадзор.
5,ForPost - Ковид загнал больницы Севастополя в большие долги ,http://sevastopol.su/news/kovid-zagnal-bolnicy-sevastopolya-v-bolshie-dolgi,Выделены средства на их частичное  погашение. 
6,ForPost - В Севастополе троллейбус разрушил остановку ,http://sevastopol.su/news/v-sevastopole-trolleybus-razrushil-ostanovku,В аварии пострадали женщина с ребёнком.
7,ForPost - Как священники доставляют гуманитарную помощь из Севастополя и Крыма ,http://sevastopol.su/news/kak-svyashchenniki-dostavlyayut-gumanitarnuyu-pomoshch-iz-sevastopolya-i-kryma,"«Быстрее, сейчас атака дронов может быть!» — звучит в пути по рации."
8,ForPost - Главы Крыма и Севастополя приняли участие в Военном совете с ЧФ ,http://sevastopol.su/news/glavy-chf-kryma-i-sevastopolya-dogovorilis-ob-usilenii-borby-s-diversiyami,Договоренности также касаются системы информирования гражданских властей со стороны ЧФ.
9,ForPost - Севастопольский скандал в Языковой балке дошёл до Верховного суда ,http://sevastopol.su/news/sevastopolskiy-skandal-v-yazykovoy-balke-doshel-do-verhovnogo-suda,Местный коммерсант до последнего оспаривал почти миллионный штраф.
10,ForPost - В севастопольском дворе появился неопознанный строительный объект ,http://sevastopol.su/news/v-sevastopolskom-dvore-poyavilsya-neopoznannyy-stroitelnyy-obekt,Вход идет через канализационный люк.
11,ForPost - В Севастополе нашли виновного за варварство с «Ракушкой» ,http://sevastopol.su/news/v-sevastopole-nashli-vinovnogo-za-varvarstvo-s-rakushkoy,"Он знал, что так нельзя, но все равно сделал, говорит прокуратура."
